repository,stars,creation_date,last_update_date,primary_language,total_releases,accepted_pull_requests,total_issues,closed_issues,repository_age_days,days_since_last_update,closed_issues_ratio
scutan90/DeepLearning-500-questions,56477,2018-06-27 06:36:45+00:00,2024-06-26 12:10:14+00:00,JavaScript,0,302,191,81,2614,423,0.42408376963350786
jgraph/drawio-desktop,56430,2017-05-25 20:58:42+00:00,2025-08-18 22:28:20+00:00,JavaScript,159,20,1637,1573,3011,4,0.9609040928527794
soimort/you-get,56360,2012-08-20 15:53:36+00:00,2025-04-27 15:33:25+00:00,Python,123,582,0,0,4751,118,0.0
FiloSottile/mkcert,56216,2018-06-25 05:33:03+00:00,2024-08-13 13:37:46+00:00,Go,14,52,344,239,2616,375,0.6947674418604651
traefik/traefik,56184,2015-09-13 19:04:02+00:00,2025-08-22 15:20:06+00:00,Go,481,4705,6352,5711,3632,1,0.8990869017632241
git/git,56165,2008-07-23 14:21:26+00:00,2025-08-22 21:04:59+00:00,C,0,3,0,0,6240,0,0.0
vllm-project/vllm,56103,2023-02-09 11:23:20+00:00,2025-08-23 18:30:31+00:00,Python,73,8753,10355,8543,926,0,0.8250120714630613
PlexPt/awesome-chatgpt-prompts-zh,56013,2022-12-12 01:55:03+00:00,2025-01-01 08:34:33+00:00,N/A,0,33,96,58,985,234,0.6041666666666666
gatsbyjs/gatsby,55920,2015-05-21 22:43:05+00:00,2025-08-20 20:40:52+00:00,JavaScript,149,18184,14119,13904,3746,2,0.9847722926552872
commaai/openpilot,55883,2016-11-24 01:33:30+00:00,2025-08-23 20:06:44+00:00,Python,58,11781,3061,2930,3194,0,0.957203528258739
azl397985856/leetcode,55577,2018-03-30 09:13:51+00:00,2025-07-16 09:42:17+00:00,JavaScript,40,257,257,248,2703,38,0.9649805447470817
topjohnwu/Magisk,55447,2016-09-08 12:42:53+00:00,2025-08-23 10:04:26+00:00,Kotlin,151,1618,6262,6225,3271,0,0.9940913446183328
remix-run/react-router,55401,2014-05-16 22:22:51+00:00,2025-08-23 19:13:02+00:00,TypeScript,311,3194,8149,8049,4116,0,0.9877285556510002
ageitgey/face_recognition,55304,2017-03-03 21:52:39+00:00,2024-08-21 06:22:36+00:00,Python,2,94,1370,595,3094,367,0.4343065693430657
ultralytics/yolov5,55078,2020-05-18 03:45:11+00:00,2025-08-23 08:48:58+00:00,Python,10,2207,9430,9173,1923,0,0.9727465535524921
CorentinJ/Real-Time-Voice-Cloning,54902,2019-05-26 08:56:15+00:00,2025-05-30 11:41:05+00:00,Python,0,48,1101,896,2281,85,0.8138056312443234
minio/minio,54769,2015-01-14 19:23:58+00:00,2025-08-22 14:15:21+00:00,Go,519,9855,7811,7776,3874,1,0.9955191396748175
AntonOsika/gpt-engineer,54762,2023-04-29 12:52:15+00:00,2025-05-14 10:15:10+00:00,Python,20,350,501,470,847,101,0.93812375249501
BurntSushi/ripgrep,54716,2016-03-11 02:02:33+00:00,2025-08-20 11:08:10+00:00,Rust,72,516,1711,1579,3452,3,0.9228521332554062
toeverything/AFFiNE,54505,2022-07-31 18:45:21+00:00,2025-08-23 09:40:59+00:00,TypeScript,574,8710,3016,2733,1119,0,0.9061671087533156
deepfakes/faceswap,54434,2017-12-19 09:44:13+00:00,2025-07-11 17:20:12+00:00,Python,4,357,881,847,2804,43,0.9614074914869466
pmndrs/zustand,54288,2019-04-09 09:10:06+00:00,2025-08-19 23:17:08+00:00,TypeScript,98,808,690,688,2328,3,0.9971014492753624
ElemeFE/element,54241,2016-09-03 06:19:26+00:00,2024-08-20 07:40:13+00:00,Vue,145,3231,17864,15250,3276,368,0.8536721898790864
sharkdp/bat,54087,2018-04-21 10:52:23+00:00,2025-08-22 14:59:35+00:00,Rust,41,1468,1518,1193,2681,1,0.7859025032938076
lencx/ChatGPT,54046,2022-12-07 09:43:02+00:00,2024-08-29 17:58:11+00:00,Rust,34,123,1200,361,990,359,0.30083333333333334
golang-standards/project-layout,53562,2017-09-09 16:33:26+00:00,2025-01-14 03:24:13+00:00,Makefile,0,90,112,44,2905,221,0.39285714285714285
wasabeef/awesome-android-ui,53466,2014-12-24 01:45:03+00:00,2024-07-06 09:06:23+00:00,N/A,0,90,114,94,3895,413,0.8245614035087719
Textualize/rich,53433,2019-11-10 15:28:09+00:00,2025-08-13 10:52:09+00:00,Python,170,836,1430,1223,2113,10,0.8552447552447553
necolas/normalize.css,53363,2011-05-04 10:20:25+00:00,2024-06-12 20:36:06+00:00,CSS,0,56,517,461,5225,436,0.8916827852998066
Z4nzu/hackingtool,53342,2020-04-11 09:21:31+00:00,2025-03-03 15:17:19+00:00,Python,0,56,373,321,1960,173,0.8605898123324397
psf/requests,53198,2011-02-13 18:38:17+00:00,2025-08-18 20:33:27+00:00,Python,14,1591,4061,3861,5305,4,0.950751046540261
maybe-finance/maybe,53158,2024-01-01 22:23:46+00:00,2025-07-24 22:20:44+00:00,Ruby,28,1073,0,0,599,29,0.0
